Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,VMA_20,VROC_10,OBV,VPT,MACD,MACD_Signal,MACD_Histogram,RSI,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,%K,%D,TR,+DM,-DM,TR_Smooth,+DM_Smooth,-DM_Smooth,+DI,-DI,DX,ADX,Williams_R,CCI,ATR,Sinyal,Alasan,Skor_Sinyal
2025-09-22 00:00:00+07:00,2230.0,2240.0,2130.0,2140.0,6791500,0.0,0.0,10572565.0,-38.51119500955175,120148500,13071384.944270635,33.78213890152119,39.60170014607125,-5.819561244550059,48.10126582278481,2183.5,2033.7,,2172.136240476933,2138.3541015754117,2183.5,2372.488999958368,1994.5110000416319,377.97799991673605,0.38491393676462016,56.41025641025641,70.94017094017094,110.0,0.0,0.0,1540.0,370.0,370.0,24.025974025974026,24.025974025974026,0.0,14.30974845903961,-43.58974358974359,-16.750418760469316,110.0,Tahan,Momentum positif dari OBV. Konfirmasi bearish dari MACD dan RSI. ,-1
2025-09-23 00:00:00+07:00,2140.0,2190.0,2130.0,2140.0,3320000,0.0,0.0,9695320.0,-71.0268873975687,120148500,13071384.944270635,28.71618350324843,37.42459681750669,-8.708413314258259,46.05263157894736,2176.0,2040.3,,2167.1922034804816,2138.476019977233,2176.0,2359.0041702142066,1992.9958297857934,366.00834042841325,0.4016415856593269,56.41025641025641,64.95726495726495,60.0,0.0,0.0,1480.0,310.0,370.0,20.945945945945947,25.0,8.823529411764701,14.531837294573823,-43.58974358974359,-28.614591664445186,105.71428571428571,Tahan,Momentum positif dari OBV. Konfirmasi bearish dari MACD dan RSI. ,-1
2025-09-24 00:00:00+07:00,2140.0,2150.0,2030.0,2100.0,10841000,0.0,0.0,9705335.0,-2.220578685330832,109307500,12868749.430251943,21.228996983196794,34.18547685064471,-12.956479867447918,44.30379746835443,2167.5,2047.0,,2156.854941406561,2135.625944423364,2167.5,2347.8943049632076,1987.1056950367924,360.7886099264151,0.31290983655563015,46.15384615384615,52.991452991452995,120.0,0.0,100.0,1540.0,310.0,460.0,20.12987012987013,29.87012987012987,19.480519480519476,15.198665290594366,-53.84615384615385,-84.74268048736161,110.0,Tahan,Konfirmasi bearish dari MACD dan RSI. ,-2
2025-09-25 00:00:00+07:00,2100.0,2160.0,2060.0,2080.0,3736500,0.0,0.0,9529170.0,-73.18025538512335,105571000,12833163.715966228,13.525600171382393,30.05350151479225,-16.527901343409855,44.30379746835443,2158.5,2052.8,,2145.03110426709,2131.5055040957077,2158.5,2337.417799414617,1979.5822005853827,357.8355988292344,0.2806255155807975,41.02564102564102,47.863247863247864,100.0,10.0,0.0,1570.0,320.0,430.0,20.382165605095544,27.388535031847134,14.666666666666659,15.81338390531298,-58.97435897435898,-70.76350093109886,112.14285714285714,Tahan,Konfirmasi bearish dari MACD dan RSI. ,-2
2025-09-26 00:00:00+07:00,2080.0,2180.0,2050.0,2150.0,7675600,0.0,0.0,8906575.0,29.16449305847707,113246600,13091477.17750469,12.920083009175869,26.626817813668975,-13.706734804493106,60.869565217391305,2148.5,2060.2,,2145.7955497644607,2132.875466755285,2148.5,2303.0485786343424,1993.9514213656576,309.0971572686849,0.5048528430777386,58.97435897435898,48.71794871794872,130.0,20.0,0.0,1490.0,340.0,270.0,22.818791946308725,18.120805369127517,11.475409836065573,14.890895757714878,-41.02564102564102,-32.54177660510155,106.42857142857143,Tahan,,0
2025-09-29 00:00:00+07:00,2150.0,2220.0,2100.0,2210.0,12241000,0.0,0.0,8339880.0,228.59980672178673,125487600,13433086.479830272,17.084762349223183,24.718406720779818,-7.633644371556635,66.66666666666666,2145.5,2069.2,,2155.6731574930054,2138.5883951437822,2145.5,2292.2507733324937,1998.7492266675063,293.5015466649875,0.7197603410711237,69.6969696969697,56.56565656565656,120.0,40.0,0.0,1480.0,380.0,200.0,25.675675675675674,13.513513513513514,31.034482758620687,15.11428904446021,-30.303030303030305,39.1339585504224,105.71428571428571,Tahan,Momentum positif dari OBV. ,1
2025-09-30 00:00:00+07:00,2210.0,2210.0,2120.0,2130.0,7623900,0.0,0.0,8323415.0,48.6372143804102,117863700,13157108.199287286,13.771223229895895,22.528970022603033,-8.757746792707138,51.515151515151516,2143.5,2077.3,,2151.72344095562,2137.952217725724,2143.5,2289.934824733523,1997.0651752664771,292.86964946704575,0.4539044075595855,35.714285714285715,54.795204795204796,90.0,0.0,0.0,1410.0,300.0,200.0,21.27659574468085,14.184397163120568,19.999999999999996,14.857467214604672,-64.28571428571429,6.968641114982573,100.71428571428571,Tahan,Konfirmasi bearish dari MACD dan RSI. ,-2
2025-10-01 00:00:00+07:00,2140.0,2220.0,2110.0,2150.0,14700100,0.0,0.0,8637735.0,-16.69254658385093,132563800,13295137.307268506,12.613650150879948,20.545906048258416,-7.932255897378468,51.515151515151516,2141.0,2084.8,,2151.458296193217,2138.844646042337,2141.0,2285.061390422719,1996.938609577281,288.1227808454378,0.5312366831029165,42.857142857142854,49.422799422799415,110.0,0.0,0.0,1410.0,210.0,200.0,14.893617021276595,14.184397163120568,2.4390243902438984,14.07439310993137,-57.14285714285714,22.222222222222225,100.71428571428571,Tahan,Momentum positif dari OBV. ,1
2025-10-02 00:00:00+07:00,2190.0,2340.0,2170.0,2200.0,41722900,0.0,0.0,10510990.0,361.694828978964,174286700,14265437.307268506,15.551578363606495,19.54704051132803,-3.995462147721536,55.71428571428571,2141.5,2093.9,,2158.9262506250298,2143.3746722614233,2141.5,2286.344744468002,1996.6552555319981,289.6894889360037,0.7019403610909868,54.83870967741935,44.4700460829493,190.0,120.0,0.0,1520.0,330.0,170.0,21.710526315789476,11.18421052631579,32.00000000000001,14.960991048075702,-45.16129032258064,129.49640287769728,108.57142857142857,Beli,Volume tinggi dengan harga menguat. Momentum positif dari OBV. ,3
2025-10-03 00:00:00+07:00,2200.0,2200.0,2060.0,2180.0,29000000,0.0,0.0,11732605.0,262.6314539020395,145286700,14001800.943632143,16.080706412168638,18.853773691496155,-2.773067279327517,52.857142857142854,2142.0,2102.2,,2162.1683659134865,2146.087659501318,2142.0,2287.327216996682,1996.6727830033178,290.65443399336436,0.630739447108753,48.38709677419355,48.69431643625192,140.0,0.0,110.0,1600.0,330.0,280.0,20.625,17.5,8.19672131147541,14.058375903657279,-51.61290322580645,2.4691358024689127,114.28571428571429,Tahan,Momentum positif dari OBV. ,1
2025-10-06 00:00:00+07:00,2180.0,2180.0,2120.0,2130.0,7395300,0.0,0.0,11550115.0,8.890524920856954,137891400,13832183.97115508,12.323405522442044,17.547700057685333,-5.224294535243288,47.945205479452056,2148.5,2107.4,,2157.219386542181,2144.895981019739,2148.5,2277.834328084439,2019.1656719155608,258.66865616887844,0.428479931530932,32.25806451612903,45.16129032258065,60.0,0.0,0.0,1600.0,330.0,280.0,20.625,17.5,8.19672131147541,13.155760759238857,-67.74193548387096,-9.289617486338548,114.28571428571429,Tahan,Momentum positif dari OBV. Konfirmasi bearish dari MACD dan RSI. ,-1
